"","Gene","Annotation","amox_clauv_acid","ampicillin","cefalexin","cefazolin","cefovecin","cefpodoxime","ceftazidime","chloramphenicol","doxycycline","enrofloxacin","gentamicin","marbofloxacin","orbifloxacin","prado","tetracycline","trimeth_sulfameth"
"group_16531","group_16531","type A-1 chloramphenicol O-acetyltransferase",NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,7,7,NA,7,7
"group_16565","group_16565","hypothetical protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16566","group_16566","DUF3927 domain-containing protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_16660","group_16660","flippase;oligosaccharide flippase family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_16678","group_16678","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16728","group_16728","abortive phage infection protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,4
"group_16770","group_16770","DUF4756 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16802","group_16802","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_16948","group_16948","IS4-like element ISVsa5 family transposase;IS4 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_16958","group_16958","transposase family protein;transposase;DDE-type integrase/transposase/recombinase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"group_16959","group_16959","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;aminoglycoside nucleotidyltransferase",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"group_1710","group_1710","conjugal transfer protein TraR",NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,4,NA,NA,NA
"group_1719","group_1719","DUF905 domain-containing protein",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA
"group_17272","group_17272","hypothetical protein;IS6-like element IS26 family transposase",NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,4
"group_17282","group_17282","DEAD/DEAH box helicase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_17291","group_17291","SLATT domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"group_17340","group_17340","IS5 family transposase;IS5-like element IS903 family transposase;transposase;IS5-like element IS903B family transposase",NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4
"group_17342","group_17342","prepilin-type N-terminal cleavage/methylation domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_17356","group_17356","conjugal transfer protein TraD",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"group_17357","group_17357","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_17375","group_17375","IS1 family transposase;IS1-like element IS1A family transposase;IS1-like element IS1B family transposase",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA
"group_17382","group_17382","IS1 family transposase;IS1-like element IS1B family transposase;IS1-like element IS1A family transposase",NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,NA
"group_17386","group_17386","reverse transcriptase;RNA-directed DNA polymerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"group_17408","group_17408","IS6-like element IS26 family transposase;IS6-like element IS1006 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,4,NA
"group_17465","group_17465","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"group_17466","group_17466","replication protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"group_17477","group_17477","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_17478","group_17478","helix-turn-helix transcriptional regulator;XRE family transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_17479","group_17479","DNA-directed RNA polymerase subunit beta;lipoprotein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_17480","group_17480","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_1758","group_1758","molecular chaperone HscC;Hsp70 family protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1835","group_1835","enterotoxin",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_1864","group_1864","transporter;MHS family MFS transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_1889","group_1889","type IV secretion system protein TraC;hypothetical protein;conjugal transfer protein TraC",NA,NA,NA,8,8,8,NA,8,8,NA,NA,8,8,NA,8,NA
"group_1924","group_1924","RepB family plasmid replication initiator protein",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,NA,5,5
"group_1925","group_1925","transcriptional regulator;serine/threonine protein kinase",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,NA,5,5
"group_1995","group_1995","methyltransferase domain-containing protein",NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"group_1998","group_1998","glycosyltransferase family 1 protein;glycosyltransferase family 4 protein",NA,NA,NA,7,NA,NA,NA,7,7,7,NA,7,7,NA,7,NA
"group_2000","group_2000","hypothetical protein;iraD leader peptide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_2018","group_2018","plasmid SOS inhibition protein A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_203","group_203","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_2042","group_2042","DUF1281 domain-containing protein;aerotaxis sensor receptor flavoprotein;DUF4113 domain-containing protein;hypothetical protein",NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,7
"group_2048","group_2048","exclusion-determining protein;ethanolamine utilization protein EutE;ethanolamine utilization protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2049","group_2049","colicin;colicin-Ia;hypothetical protein;colicin transporter;colicin Ia family protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2069","group_2069","peptidoglycan-binding protein;lytic transglycosylase domain-containing protein;transglycosylase SLT domain-containing protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2102","group_2102","fimbrial-like protein",NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,5,NA,5,NA
"group_2103","group_2103","molecular chaperone",NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,6,6,NA,6,6
"group_2115","group_2115","autotransporter outer membrane beta-barrel domain-containing protein;autotransporter-associated beta strand;autotransporter barrel domain-containing lipoprotein;hypothetical protein;transporter",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2126","group_2126","ParB/RepB/Spo0J family partition protein;hypothetical protein;chromosome partitioning protein ParB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2137","group_2137","DUF2713 family protein;hypothetical protein;DUF2713 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2147","group_2147","helix-turn-helix transcriptional regulator;LuxR family transcriptional regulator",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2181","group_2181","YscQ/HrcQ family type III secretion apparatus protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2212","group_2212","hypothetical protein;DUF1380 domain-containing protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2267","group_2267","hypothetical protein;tyrosine kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"group_227","group_227","hypothetical protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2291","group_2291","ParB/RepB/Spo0J family partition protein;hypothetical protein;chromosome partitioning protein ParB",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2292","group_2292","hypothetical protein",NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2319","group_2319","class A extended-spectrum beta-lactamase CTX-M-14;class A extended-spectrum beta-lactamase CTX-M-15",NA,11,11,11,11,11,NA,NA,11,11,NA,11,11,11,11,NA
"group_2363","group_2363","ParA family protein",NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2364","group_2364","hypothetical protein",NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2374","group_2374","lysine 6-monooxygenase;L-lysine N6-monooxygenase",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3
"group_2394","group_2394","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"group_240","group_240","DUF2686 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2448","group_2448","transporter;pilus assembly protein;hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2449","group_2449","Rpn family recombination-promoting nuclease/putative transposase",NA,4,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2451","group_2451","CesD/SycD/LcrH family type III secretion system chaperone;tetratricopeptide repeat protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2481","group_2481","EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein;hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2520","group_2520","hypothetical protein;DotA/TraY family protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2521","group_2521","positive regulator for repZ translation;hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2523","group_2523","peptidase;translesion error-prone DNA polymerase V autoproteolytic subunit",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2524","group_2524","DUF4942 domain-containing protein",NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2569","group_2569","type-F conjugative transfer system secretin TraK",NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,4,NA
"group_2592","group_2592","relaxase;hypothetical protein",NA,NA,NA,NA,8,8,NA,NA,8,8,NA,8,8,NA,8,8
"group_2595","group_2595","hypothetical protein",NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5
"group_2655","group_2655","conjugal transfer protein TraC",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2664","group_2664","hypothetical protein",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA
"group_2674","group_2674","class A extended-spectrum beta-lactamase CTX-M-14;class A extended-spectrum beta-lactamase CTX-M-15",13,13,13,13,13,13,NA,NA,13,13,13,13,13,13,13,NA
"group_2675","group_2675","colicin;hypothetical protein;colicin transporter",7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2678","group_2678","conjugal transfer protein TraG;conjugal transfer mating pair stabilization protein TraG",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_2686","group_2686","replication regulatory protein RepA;replication protein RepA;hypothetical protein;replication protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_2697","group_2697","fimbrial chaperone",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2698","group_2698","fimbrial biogenesis outer membrane usher protein;fimbria/pilus outer membrane usher protein;hypothetical protein",NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2699","group_2699","hypothetical protein;pili assembly chaperone",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2717","group_2717","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_2721","group_2721","LysR family transcriptional regulator;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_2739","group_2739","DUF4049 domain-containing protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2756","group_2756","protein tyrosine phosphatase",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_2776","group_2776","acyl-CoA dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_28","group_28","IS30-like element IS30H family transposase;IS30-like element IS30 family transposase;IS30 family transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2806","group_2806","hypothetical protein;fimbrial protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_2850","group_2850","hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2867","group_2867","phage portal protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_2869","group_2869","molybdopterin-guanine dinucleotide biosynthesis protein MobC",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2874","group_2874","DUF968 domain-containing protein;pdcB",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_2889","group_2889","nikA protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_2891","group_2891","recombinase family protein;adenine-specific DNA-methyltransferase;510-methylenetetrahydrofolate reductase;metal-dependent hydrolase",NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,5,5
"group_2929","group_2929","DUF957 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_2942","group_2942","fimbrial protein;fimbrial subunit ElfA",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_297","group_297","DUF945 domain-containing protein;DUF932 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_2979","group_2979","hypothetical protein;PTS transporter subunit EIIA;HTH domain-containing protein;transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_2990","group_2990","ISAs1 family transposase;ISAs1-like element ISEc5 family transposase;ISAs1-like element ISEc1 family transposase;transposase",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_3006","group_3006","hypothetical protein",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"group_3032","group_3032","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_3060","group_3060","conjugation system SOS inhibitor PsiB",NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"group_3099","group_3099","xanthine dehydrogenase family protein molybdopterin-binding subunit;oxidoreductase;molybdopterin-dependent oxidoreductase;xanthine dehydrogenase family protein subunit M",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3148","group_3148","DUF905 domain-containing protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3183","group_3183","DUF987 domain-containing protein;DUF987 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"group_3197","group_3197","hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3242","group_3242","restriction endonuclease subunit S",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_3245","group_3245","type-F conjugative transfer system pilin assembly protein TrbC",NA,NA,NA,7,7,7,NA,7,7,NA,NA,NA,7,NA,7,NA
"group_3256","group_3256","RepA leader peptide Tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA
"group_3268","group_3268","type I toxin-antitoxin system Hok family toxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_3289","group_3289","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_3312","group_3312","single-stranded DNA-binding protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,4,NA,NA,NA
"group_3351","group_3351","hypothetical protein",NA,NA,NA,6,6,NA,NA,NA,NA,6,NA,NA,6,6,6,NA
"group_3361","group_3361","hypothetical protein",5,5,NA,NA,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"group_340","group_340","DUF1472 domain-containing protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_341","group_341","hypothetical protein",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_342","group_342","type VI secretion system tip protein VgrG;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_3434","group_3434","DUF1380 domain-containing protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3435","group_3435","DUF1380 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"group_3467","group_3467","S-methylmethionine permease",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_3471","group_3471","YfcC family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA
"group_3493","group_3493","conjugal transfer protein TraH",NA,NA,NA,8,8,8,NA,8,8,NA,NA,8,8,NA,8,NA
"group_3504","group_3504","hypothetical protein",NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"group_3528","group_3528","chromosome partitioning protein ParB;ParB/RepB/Spo0J family partition protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_3566","group_3566","ATP-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_3573","group_3573","fertility inhibition protein FinO;conjugal transfer protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_3581","group_3581","DUF1472 domain-containing protein;YubH family protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3643","group_3643","antirestriction protein",NA,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,4,NA,NA,NA
"group_3655","group_3655","conjugal transfer protein TrbA",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_3696","group_3696","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_3697","group_3697","complement resistance protein TraT;hypothetical protein",NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA
"group_3737","group_3737","DUF4238 domain-containing protein",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_380","group_380","DUF4132 domain-containing protein;WGR and DUF4132 domain-containing protein;molybdate metabolism regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"group_3824","group_3824","IS66 family insertion sequence hypothetical protein;IS66 family insertion sequence element accessory protein TnpB;transposase",NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,NA,NA,NA
"group_3831","group_3831","AAA family ATPase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_3845","group_3845","GNAT family N-acetyltransferase;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5
"group_3846","group_3846","resolvase;NTP-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,4,4
"group_3847","group_3847","conjugal transfer protein TraE",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3849","group_3849","Tn3 family transposase;Tn3-like element TnAs3 family transposase;DUF4158 domain-containing protein;Tn3-like element TnAs1 family transposase;hypothetical protein;transposase",NA,7,NA,7,NA,7,NA,7,7,NA,NA,NA,NA,NA,7,7
"group_3852","group_3852","hypothetical protein",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3854","group_3854","hypothetical protein",6,6,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3855","group_3855","recombinase family protein;helix-turn-helix domain-containing protein;hypothetical protein",5,5,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5
"group_3857","group_3857","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA
"group_3861","group_3861","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_3892","group_3892","hypothetical protein",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_3907","group_3907","replication protein RepA4;replication protein;hypothetical protein",NA,7,NA,NA,7,7,NA,NA,7,NA,NA,7,7,NA,7,NA
"group_3921","group_3921","capsule assembly Wzi family protein",NA,NA,NA,NA,NA,7,NA,7,7,7,NA,7,7,NA,7,NA
"group_3933","group_3933","hypothetical protein;RHS repeat protein;RHS repeat family protein;type IV secretion protein Rhs;RHS element protein;RHS repeat-associated core domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_3938","group_3938","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_3975","group_3975","IS1 family transposase;IS1-like element IS1A family transposase;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,NA,6,NA
"group_3993","group_3993","resolvase",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4
"group_3996","group_3996","DUF1281 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"group_4008","group_4008","recombinase family protein;helix-turn-helix domain-containing protein",NA,4,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA
"group_4019","group_4019","Tn3 family transposase;hypothetical protein;Tn3-like element TnAs1 family transposase;transposase",NA,NA,NA,NA,6,NA,NA,NA,6,6,NA,6,6,NA,6,NA
"group_4032","group_4032","GTPase family protein",NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,6,NA,6,6
"group_4035","group_4035","replication C family protein;replication protein C;replication protein",NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,6,NA,NA,6,6
"group_4067","group_4067","polysaccharide export protein",NA,NA,NA,NA,NA,7,NA,7,7,7,NA,7,7,NA,7,NA
"group_4110","group_4110","p-aminobenzoyl-glutamate hydrolase subunit A",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4152","group_4152","antitoxin of toxin-antitoxin stability system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
"group_4248","group_4248","4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"group_4268","group_4268","hypothetical protein;DUF1472 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_4271","group_4271","DUF2787 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_428","group_428","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA
"group_4288","group_4288","molybdopterin-guanine dinucleotide biosynthesis protein MobC",NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4407","group_4407","PstS family phosphate ABC transporter substrate-binding protein;phosphate ABC transporter substrate-binding protein;hypothetical protein",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4411","group_4411","RusA family crossover junction endodeoxyribonuclease",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA
"group_4413","group_4413","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"group_4421","group_4421","transposase;Tn3-like element Tn3 family transposase;Tn3 family transposase;DUF4158 domain-containing protein",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4432","group_4432","proQ/FINO family protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4434","group_4434","abortive infection protein",NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4438","group_4438","hypothetical protein;cobalamin biosynthesis protein CobW",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"group_4455","group_4455","AbrB/MazE/SpoVT family DNA-binding domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
"group_4458","group_4458","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4459","group_4459","colicin transporter;colicin 1B immunity protein",NA,4,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4461","group_4461","esterase-like activity of phytase family protein;hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4,4
"group_4483","group_4483","hypothetical protein",NA,5,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"group_4493","group_4493","polysaccharide biosynthesis tyrosine autokinase",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
